#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         526    -5.68803    -5.87815  0.00903761
         527    -5.68416    -5.87778  0.00902796
         528    -5.67243    -5.87739  0.00901923
         529    -5.68485    -5.87703  0.00900952
         530    -5.69261    -5.87668  0.00899924
         531    -5.66023    -5.87627  0.00899152
         532    -5.67471     -5.8759   0.0089826
         533    -5.66532     -5.8755  0.00897443
         534    -5.68792    -5.87515   0.0089645
         535     -5.6895     -5.8748  0.00895446
         536    -5.68944    -5.87446  0.00894442
         537    -5.68535     -5.8741   0.0089347
         538    -5.68779    -5.87376   0.0089248
         539    -5.69425    -5.87342  0.00891445
         540    -5.68316    -5.87307  0.00890491
         541    -5.68444    -5.87272  0.00889527
         542    -5.66463    -5.87234  0.00888714
         543    -5.64981    -5.87193  0.00888022
         544    -5.66544    -5.87155    0.008872
         545    -5.65064    -5.87114  0.00886498
         546    -5.65739    -5.87075  0.00885738
         547    -5.66002    -5.87037  0.00884956
         548    -5.65809    -5.86998  0.00884189
         549    -5.65965     -5.8696  0.00883408
         550    -5.64434    -5.86919   0.0088275
         551    -5.65521     -5.8688  0.00882002
         552    -5.64454    -5.86839   0.0088134
         553    -5.65868    -5.86801  0.00880561
         554    -5.66321    -5.86764  0.00879748
         555    -5.66593    -5.86728  0.00878913
         556    -5.66535    -5.86692  0.00878082
         557    -5.66936    -5.86656  0.00877222
         558    -5.66451     -5.8662  0.00876397
         559    -5.66533    -5.86584  0.00875565
         560    -5.64276    -5.86544  0.00874908
         561    -5.66017    -5.86508  0.00874113
         562    -5.63548    -5.86467  0.00873512
         563    -5.64519    -5.86428   0.0087283
         564    -5.64591    -5.86389   0.0087214
         565    -5.65636    -5.86352   0.0087137
         566    -5.64037    -5.86313  0.00870722
         567    -5.62202    -5.86271  0.00870224
         568    -5.63845    -5.86231  0.00869587
         569    -5.62886     -5.8619  0.00869026
         570    -5.61258    -5.86146  0.00868602
         571     -5.6178    -5.86104  0.00868128
         572    -5.63197    -5.86064  0.00867534
         573    -5.63725    -5.86025  0.00866895
         574    -5.63011    -5.85984  0.00866312
         575     -5.6266    -5.85944  0.00865754
         576    -5.65068    -5.85908  0.00865009
         577    -5.64222     -5.8587  0.00864326
         578    -5.65056    -5.85834  0.00863581
         579    -5.64233    -5.85797  0.00862895
         580    -5.64492     -5.8576  0.00862188
         581    -5.63935    -5.85722  0.00861522
         582    -5.64517    -5.85686  0.00860812
         583    -5.63064    -5.85647   0.0086021
         584    -5.64447    -5.85611  0.00859502
         585    -5.63046    -5.85572  0.00858898
         586    -5.60685     -5.8553  0.00858482
         587    -5.61175    -5.85488  0.00858022
         588    -5.62261    -5.85449  0.00857471
         589    -5.62462     -5.8541  0.00856903
         590    -5.62983    -5.85372  0.00856293
         591    -5.64062    -5.85336  0.00855603
         592    -5.62287    -5.85297  0.00855043
         593    -5.64564    -5.85262  0.00854316
         594    -5.63912    -5.85226  0.00853634
         595    -5.63862     -5.8519  0.00852954
         596    -5.61098     -5.8515   0.0085248
         597    -5.61222     -5.8511  0.00851994
         598    -5.61142    -5.85069  0.00851511
         599    -5.61174     -5.8503  0.00851023
         600    -5.58386    -5.84985  0.00850763
         601    -5.60181    -5.84944  0.00850348
         602    -5.61388    -5.84905  0.00849835
         603    -5.62178    -5.84867  0.00849261
         604    -5.64436    -5.84833  0.00848528
         605    -5.63594    -5.84798  0.00847852
         606    -5.64093    -5.84764  0.00847141
         607    -5.63111    -5.84728  0.00846496
         608    -5.62697    -5.84692  0.00845879
         609    -5.63584    -5.84657    0.008452
         610    -5.63494    -5.84623  0.00844526
         611    -5.64504     -5.8459  0.00843785
         612    -5.66183     -5.8456  0.00842942
         613    -5.66366     -5.8453   0.0084209
         614    -5.65415    -5.84499  0.00841293
         615    -5.64822    -5.84467  0.00840534
         616     -5.6599    -5.84437  0.00839704
         617    -5.64288    -5.84404  0.00838978
         618    -5.64256    -5.84372  0.00838254
         619    -5.63724    -5.84338  0.00837563
         620    -5.63803    -5.84305  0.00836866
         621    -5.62445     -5.8427  0.00836259
         622      -5.629    -5.84236   0.0083562
         623    -5.61529    -5.84199  0.00835073
         624    -5.60938    -5.84162  0.00834566
         625    -5.62672    -5.84128  0.00833939
         626    -5.62101    -5.84092  0.00833349
         627    -5.61391    -5.84056  0.00832806
         628    -5.60922    -5.84019  0.00832294
         629    -5.59339     -5.8398  0.00831895
         630    -5.59535    -5.83941  0.00831479
         631    -5.59999    -5.83903  0.00831027
         632    -5.59432    -5.83865  0.00830614
         633    -5.61563    -5.83829  0.00830048
         634    -5.60737    -5.83793  0.00829538
         635    -5.62102    -5.83759  0.00828934
         636    -5.60091    -5.83722  0.00828466
         637    -5.59156    -5.83683  0.00828062
         638    -5.59982    -5.83646  0.00827597
         639    -5.60523     -5.8361  0.00827093
         640    -5.60226    -5.83573  0.00826607
         641    -5.59575    -5.83536  0.00826165
         642    -5.59242    -5.83498  0.00825744
         643    -5.58949     -5.8346  0.00825342
         644    -5.57999     -5.8342  0.00825007
         645    -5.58961    -5.83382  0.00824599
         646    -5.58219    -5.83343  0.00824242
         647    -5.58439    -5.83305  0.00823866
         648    -5.59669    -5.83268  0.00823402
         649    -5.58583     -5.8323  0.00823011
         650    -5.59872    -5.83194  0.00822529
         651    -5.60847     -5.8316  0.00821982
         652    -5.60425    -5.83125   0.0082146
         653    -5.61863    -5.83093  0.00820847
         654    -5.60986    -5.83059  0.00820288
         655    -5.60155    -5.83024  0.00819781
         656     -5.6065     -5.8299   0.0081924
         657    -5.61146    -5.82956  0.00818668
         658    -5.60908    -5.82923  0.00818109
         659    -5.57653    -5.82885  0.00817766
         660    -5.61254    -5.82852  0.00817183
