#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         366     0.30303     0.30303 1.89794e-09
         367     0.30303     0.30303 1.91519e-09
         368     0.30303     0.30303 1.91259e-09
         369     0.30303     0.30303    1.91e-09
         370     0.30303     0.30303 1.91722e-09
         371     0.30303     0.30303 1.91464e-09
         372     0.30303     0.30303 1.91206e-09
         373     0.30303     0.30303 1.91921e-09
         374     0.30303     0.30303 1.91665e-09
         375     0.30303     0.30303 1.93333e-09
         376     0.30303     0.30303 1.94029e-09
         377     0.30303     0.30303 1.93771e-09
         378     0.30303     0.30303 1.93515e-09
         379     0.30303     0.30303 1.95145e-09
         380     0.30303     0.30303 1.97679e-09
         381     0.30303     0.30303 1.97419e-09
         382     0.30303     0.30303 1.95309e-09
         383     0.30303     0.30303 1.95054e-09
         384     0.30303     0.30303 1.97563e-09
         385     0.30303     0.30303 1.95471e-09
         386     0.30303     0.30303 1.95218e-09
         387     0.30303     0.30303 1.93117e-09
         388     0.30303     0.30303 1.92868e-09
         389     0.30303     0.30303 1.90759e-09
         390     0.30303     0.30303 1.91446e-09
         391     0.30303     0.30303 1.90271e-09
         392     0.30303     0.30303 1.90028e-09
         393     0.30303     0.30303 1.87916e-09
         394     0.30303     0.30303 1.87677e-09
         395     0.30303     0.30303 1.85556e-09
         396     0.30303     0.30303 1.85321e-09
         397     0.30303     0.30303 1.85088e-09
         398     0.30303     0.30303  1.8391e-09
         399     0.30303     0.30303 1.83679e-09
         400     0.30303     0.30303  1.8059e-09
         401     0.30303     0.30303 1.82274e-09
         402     0.30303     0.30303  1.8014e-09
         403     0.30303     0.30303 1.79917e-09
         404     0.30303     0.30303 1.76803e-09
         405     0.30303     0.30303 1.77552e-09
         406     0.30303     0.30303 1.77334e-09
         407     0.30303     0.30303  1.7518e-09
         408     0.30303     0.30303 1.74965e-09
         409     0.30303     0.30303 1.73777e-09
         410     0.30303     0.30303 1.73565e-09
         411     0.30303     0.30303 1.70407e-09
         412     0.30303     0.30303 1.72168e-09
         413     0.30303     0.30303  1.7196e-09
         414     0.30303     0.30303 1.69789e-09
         415     0.30303     0.30303 1.69584e-09
         416     0.30303     0.30303 1.67399e-09
         417     0.30303     0.30303 1.67198e-09
         418     0.30303     0.30303 1.64998e-09
         419     0.30303     0.30303 1.64801e-09
         420     0.30303     0.30303 1.64605e-09
         421     0.30303     0.30303 1.63404e-09
         422     0.30303     0.30303  1.6321e-09
         423     0.30303     0.30303 1.60992e-09
         424     0.30303     0.30303 1.61816e-09
         425     0.30303     0.30303 1.61626e-09
         426     0.30303     0.30303 1.59405e-09
         427     0.30303     0.30303 1.59218e-09
         428     0.30303     0.30303 1.55944e-09
         429     0.30303     0.30303 1.56797e-09
         430     0.30303     0.30303 1.56615e-09
         431     0.30303     0.30303 1.54361e-09
         432     0.30303     0.30303 1.54182e-09
         433     0.30303     0.30303 1.55041e-09
         434     0.30303     0.30303 1.52784e-09
         435     0.30303     0.30303 1.52608e-09
         436     0.30303     0.30303  1.5033e-09
         437     0.30303     0.30303 1.51212e-09
         438     0.30303     0.30303 1.51039e-09
         439     0.30303     0.30303 1.48757e-09
         440     0.30303     0.30303 1.48588e-09
         441     0.30303     0.30303 1.48419e-09
         442     0.30303     0.30303 1.46118e-09
         443     0.30303     0.30303 1.45953e-09
         444     0.30303     0.30303 1.43628e-09
