#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         508    -5.51051     -5.5576    0.003986
         509    -5.52529    -5.55753  0.00397868
         510    -5.54495    -5.55751  0.00397095
         511    -5.56274    -5.55752  0.00396319
         512    -5.57841    -5.55756  0.00395566
         513    -5.58664    -5.55762  0.00394836
         514    -5.58733    -5.55767   0.0039411
         515    -5.58323    -5.55772  0.00393376
         516    -5.57601    -5.55776  0.00392629
         517    -5.56916    -5.55778  0.00391876
         518    -5.56842     -5.5578  0.00391125
         519    -5.56988    -5.55783  0.00390378
         520     -5.5729    -5.55785  0.00389638
         521    -5.57758    -5.55789  0.00388909
         522    -5.58524    -5.55794  0.00388199
         523    -5.59661    -5.55802  0.00387527
         524     -5.6106    -5.55812  0.00386918
         525    -5.62414    -5.55824  0.00386385
         526    -5.63218    -5.55839  0.00385906
         527    -5.62975    -5.55852  0.00385411
         528    -5.61548    -5.55863  0.00384832
         529    -5.59402     -5.5587  0.00384163
         530    -5.57087    -5.55872  0.00383445
         531    -5.55343    -5.55871  0.00382724
         532    -5.54305    -5.55868  0.00382016
         533     -5.5365    -5.55864  0.00381322
         534     -5.5334    -5.55859  0.00380637
         535    -5.53592    -5.55855  0.00379949
         536     -5.5423    -5.55852  0.00379253
         537    -5.55273    -5.55851  0.00378548
         538    -5.56032    -5.55851  0.00377844
         539    -5.56157    -5.55852  0.00377144
         540    -5.55796    -5.55851  0.00376445
         541    -5.55211     -5.5585  0.00375751
         542    -5.54761    -5.55848  0.00375063
         543    -5.54669    -5.55846  0.00374379
         544    -5.54751    -5.55844  0.00373696
         545    -5.54843    -5.55842  0.00373015
         546    -5.54879     -5.5584  0.00372336
         547    -5.54407    -5.55838  0.00371665
         548    -5.54112    -5.55835     0.00371
         549    -5.54258    -5.55832  0.00370335
         550    -5.55474    -5.55831  0.00369662
         551    -5.57536    -5.55834  0.00369004
         552    -5.59599    -5.55841  0.00368399
         553    -5.60938     -5.5585  0.00367848
         554    -5.61407     -5.5586  0.00367321
         555    -5.60821    -5.55869  0.00366768
         556      -5.593    -5.55875   0.0036616
         557    -5.57568    -5.55878  0.00365515
         558    -5.55874    -5.55878   0.0036486
         559    -5.54409    -5.55876  0.00364217
         560    -5.53086    -5.55871    0.003636
         561    -5.52095    -5.55864  0.00363015
         562    -5.51779    -5.55857  0.00362441
         563    -5.51984     -5.5585  0.00361863
         564     -5.5292    -5.55845  0.00361259
         565    -5.53771    -5.55841  0.00360638
         566    -5.53934    -5.55838  0.00360016
         567    -5.53289    -5.55833   0.0035941
