#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         452   0.0555556   0.0555556 2.93858e-10
         453   0.0555556   0.0555556 2.95159e-10
         454   0.0555556   0.0555556 2.94834e-10
         455   0.0555556   0.0555556  2.9451e-10
         456   0.0555556   0.0555556 2.97402e-10
         457   0.0555556   0.0555556 2.97077e-10
         458   0.0555556   0.0555556 2.96752e-10
         459   0.0555556   0.0555556 2.99599e-10
         460   0.0555556   0.0555556 2.99273e-10
         461   0.0555556   0.0555556 2.98949e-10
         462   0.0555556   0.0555556 3.01752e-10
         463   0.0555556   0.0555556 3.01426e-10
         464   0.0555556   0.0555556 3.01101e-10
         465   0.0555556   0.0555556 3.03862e-10
         466   0.0555556   0.0555556 3.03536e-10
         467   0.0555556   0.0555556 3.03211e-10
         468   0.0555556   0.0555556 3.04412e-10
         469   0.0555556   0.0555556 3.04088e-10
         470   0.0555556   0.0555556 3.03764e-10
         471   0.0555556   0.0555556 3.06461e-10
         472   0.0555556   0.0555556 3.06136e-10
         473   0.0555556   0.0555556 3.05812e-10
         474   0.0555556   0.0555556  3.0847e-10
         475   0.0555556   0.0555556 3.08145e-10
         476   0.0555556   0.0555556 3.07821e-10
         477   0.0555556   0.0555556 3.10441e-10
         478   0.0555556   0.0555556 3.10116e-10
         479   0.0555556   0.0555556 3.09792e-10
         480   0.0555556   0.0555556 3.10926e-10
         481   0.0555556   0.0555556 3.10602e-10
         482   0.0555556   0.0555556  3.1028e-10
         483   0.0555556   0.0555556 3.09958e-10
         484   0.0555556   0.0555556 3.12518e-10
         485   0.0555556   0.0555556 3.12196e-10
         486   0.0555556   0.0555556 3.11875e-10
         487   0.0555556   0.0555556   3.144e-10
         488   0.0555556   0.0555556 3.14077e-10
         489   0.0555556   0.0555556 3.13756e-10
         490   0.0555556   0.0555556 3.16247e-10
         491   0.0555556   0.0555556 3.15925e-10
         492   0.0555556   0.0555556 3.15603e-10
         493   0.0555556   0.0555556 3.18061e-10
         494   0.0555556   0.0555556 3.17739e-10
         495   0.0555556   0.0555556 3.17418e-10
         496   0.0555556   0.0555556 3.17098e-10
         497   0.0555556   0.0555556 3.18153e-10
         498   0.0555556   0.0555556 3.17833e-10
         499   0.0555556   0.0555556 3.17515e-10
         500   0.0555556   0.0555556  3.1992e-10
