#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         535    -3.12473    -4.19739   0.0500208
         536    -3.13966    -4.19542   0.0499664
         537    -3.12881    -4.19343   0.0499128
         538    -3.12902    -4.19145   0.0498592
         539    -3.15119    -4.18952   0.0498041
         540    -3.09887     -4.1875   0.0497528
         541    -3.10262     -4.1855   0.0497012
         542    -3.00544    -4.18332   0.0496572
         543     -2.9435    -4.18104   0.0496182
         544    -3.00243    -4.17887   0.0495743
         545    -2.91954    -4.17656   0.0495371
         546    -2.94978    -4.17431   0.0494973
         547    -2.95845    -4.17209   0.0494567
         548     -2.9446    -4.16985   0.0494172
         549    -2.95907    -4.16765   0.0493764
         550    -2.88282    -4.16531   0.0493418
         551    -2.92498    -4.16306   0.0493036
         552     -2.8732    -4.16072   0.0492696
         553    -2.93933    -4.15851     0.04923
         554    -2.95341    -4.15634   0.0491892
         555    -2.96722    -4.15419   0.0491472
         556    -2.94818    -4.15203   0.0491066
         557     -2.9608    -4.14989    0.049065
         558    -2.95002    -4.14774   0.0490242
         559    -2.96519    -4.14562   0.0489821
         560    -2.86113    -4.14333   0.0489483
         561    -2.94836     -4.1412   0.0489074
         562    -2.83574    -4.13887   0.0488755
         563    -2.88592    -4.13665   0.0488393
         564    -2.89151    -4.13444   0.0488026
         565    -2.94745    -4.13234   0.0487614
         566    -2.88083    -4.13013   0.0487254
         567    -2.79308    -4.12777   0.0486965
         568    -2.87086    -4.12556    0.048661
         569    -2.82671    -4.12328    0.048629
         570    -2.75592    -4.12088   0.0486028
         571    -2.77285    -4.11852    0.048575
         572    -2.82691    -4.11626   0.0485425
         573    -2.86174    -4.11407   0.0485071
         574    -2.81907    -4.11181   0.0484751
         575    -2.81025    -4.10955   0.0484436
         576     -2.9168    -4.10748   0.0484037
         577    -2.88103    -4.10535   0.0483665
         578    -2.91504    -4.10329   0.0483266
         579     -2.8762    -4.10117   0.0482896
         580    -2.88155    -4.09907   0.0482521
         581    -2.85234    -4.09693   0.0482167
         582    -2.86782    -4.09481   0.0481801
         583    -2.79676    -4.09259   0.0481489
         584    -2.86726    -4.09049   0.0481122
         585    -2.80146    -4.08829   0.0480803
         586     -2.6935    -4.08591   0.0480572
         587    -2.71275    -4.08357   0.0480322
         588     -2.7689    -4.08133   0.0480025
         589    -2.78755    -4.07913   0.0479713
         590    -2.81102    -4.07698   0.0479381
         591    -2.86521    -4.07493   0.0479008
         592    -2.78903    -4.07276   0.0478691
         593    -2.87959    -4.07075   0.0478306
         594    -2.84858    -4.06869   0.0477944
         595    -2.83834    -4.06662   0.0477587
         596    -2.71604    -4.06436   0.0477323
         597    -2.70561    -4.06208   0.0477066
         598    -2.68631    -4.05978   0.0476823
         599    -2.69123     -4.0575   0.0476574
         600    -2.57013    -4.05502   0.0476424
         601    -2.64626    -4.05267   0.0476207
         602    -2.68903    -4.05041   0.0475955
         603    -2.72803    -4.04822    0.047567
         604    -2.83375     -4.0462   0.0475308
         605    -2.80147    -4.04415   0.0474967
         606    -2.82597    -4.04214   0.0474609
         607    -2.77976    -4.04006   0.0474282
         608    -2.75901    -4.03795    0.047397
         609     -2.8076    -4.03593   0.0473622
         610    -2.79991     -4.0339   0.0473279
         611    -2.85417    -4.03197   0.0472898
         612    -2.93002    -4.03017   0.0472468
         613    -2.94126     -4.0284   0.0472031
